Pignum,16Snew_2,16Sold_1,ant6-ia_431,ant6-ib_1541,aph2'-Id_104,aphA3_14,blaROB_41,cfxA_106,ermB_804,intl2_338,intl3_1522,IS91_1567,sul2_133,tet32_54,tet44_1539,tetB_181,tetL_195,tetM_1513,tetO_192,tetQ_185,tetW_191,tetX_196,tnpA_203,tnpA_206,Treatment
49,16.122705,14.81085,26.13738,27.254415,23.598785,20.42243,NA,24.18654,24.558425,NA,27.37717,NA,NA,20.69166,26.27623,NA,NA,NA,19.869864999999997,18.987395,16.99155,NA,NA,NA,Control
5,15.185645000000001,14.825990000000001,26.68493,25.29605,22.770249999999997,20.229135,NA,23.538015,21.896185000000003,NA,27.22189,NA,NA,21.111055,NA,NA,NA,NA,21.982005,19.04152,17.057470000000002,23.375265,NA,26.37932,Control
51,16.079050000000002,14.919745,25.036985,27.17249,24.16094,20.088639999999998,NA,24.409035000000003,24.379485000000003,NA,27.67726,NA,NA,21.559269999999998,25.95068,NA,27.77366,27.156515,20.142995,19.188505,17.305239999999998,26.139855,NA,NA,Inject
52,17.346585,14.97518,24.033745,25.372889999999998,22.18404,19.7691,27.37088,27.154384999999998,22.47795,NA,NA,NA,NA,20.542865,27.08166,NA,NA,NA,20.430419999999998,20.85793,17.402524999999997,NA,NA,NA,Inject
53,16.091845,14.073375,23.838279999999997,25.604194999999997,21.944845,18.66456,NA,24.401935,22.73724,NA,NA,NA,NA,19.54483,NA,NA,25.973565,25.80183,19.89054,20.22164,16.748355,NA,NA,26.42443,Inject
54,16.093815,15.62095,26.858584999999998,25.67702,23.63973,20.01498,NA,24.92298,23.914324999999998,NA,27.63371,NA,NA,23.525405,NA,NA,NA,NA,23.158685,20.17105,17.90525,26.435290000000002,NA,NA,Inject
55,16.55773,15.35491,26.8355,NA,24.42443,20.16185,NA,26.10016,27.195345,NA,NA,NA,NA,22.97615,NA,NA,NA,NA,22.92828,20.79785,18.15606,24.565265,NA,NA,Inject
56,15.8095,14.49164,26.39978,25.500815000000003,23.287930000000003,20.068835,NA,25.85244,22.87263,NA,NA,NA,NA,22.81449,26.550145,27.62888,NA,NA,21.64019,20.16695,17.10141,NA,NA,27.91964,Inject
57,16.95485,15.13049,24.003235,27.698905,23.10985,19.702385,NA,24.810775,22.88565,NA,NA,NA,NA,22.177015,NA,NA,NA,NA,21.636035,19.683615000000003,16.917645,NA,NA,NA,Inject
58,NA,14.89324,24.39206,26.52124,22.68177,19.013325000000002,27.727330000000002,25.049255,21.501730000000002,NA,NA,24.284084999999997,NA,22.110945,NA,24.436145,25.550095,NA,22.545589999999997,18.548325,16.08015,20.987904999999998,NA,24.58312,Inject
59,16.512909999999998,15.392005000000001,26.38353,26.061595,23.171385,20.379525,NA,24.54589,23.70398,NA,NA,NA,27.63602,21.64672,NA,NA,26.12314,NA,21.536610000000003,19.467664999999997,17.235605,27.55165,NA,NA,In-Feed
60,16.489845000000003,14.742225000000001,26.03051,25.127345,22.038525,19.35039,NA,27.75645,22.03473,NA,NA,NA,NA,20.45245,26.09479,NA,NA,NA,21.083435,18.66373,16.72642,NA,NA,NA,In-Feed
61,17.435645,15.23818,25.062415,27.9979,21.374445,18.645615,26.83231,NA,25.648495,NA,27.39538,NA,27.03761,22.33343,NA,27.67276,NA,NA,20.966994999999997,19.80947,16.630715000000002,27.120985,NA,NA,In-Feed
63,16.579655000000002,14.713280000000001,25.401875,24.353765000000003,22.821134999999998,18.90929,NA,26.18199,24.083599999999997,NA,26.79634,NA,NA,20.885115,22.64014,NA,NA,NA,20.549585,20.55771,16.476675,26.840205,NA,NA,In-Feed
64,16.57638,15.473865,25.184035,24.37526,21.91505,19.437195,NA,26.08856,23.16817,NA,NA,25.22261,NA,20.99759,26.104,25.428455,27.80741,26.890655000000002,20.568455,19.287365,17.272464999999997,26.44095,NA,NA,In-Feed
65,17.08845,15.200985,24.23676,25.46259,22.56521,18.78644,25.807834999999997,22.553835,22.800395,26.98911,26.539445,NA,27.232860000000002,20.86628,24.1334,25.937715,NA,NA,20.188745,18.929705,17.185470000000002,27.49957,NA,NA,In-Feed
66,15.370345,14.884564999999998,26.025225,27.47844,22.154375,19.46779,NA,23.82045,23.33987,NA,27.17375,NA,NA,20.493519999999997,26.48876,NA,NA,NA,20.710639999999998,18.510894999999998,16.992514999999997,NA,NA,NA,In-Feed
