Animal ID,Time Point,Serum,Nasal,Ileum,feces
47,D7,NF,NF,,
47,D9,NF,,,NF
47,D11,<1.0,NF,,<20
47,D14,NF,NF,NF,<20
48,D0,NF,NF,,
48,D1,NF,,,
48,D3,NF,,,
48,D4,NF,NF,,
48,D7,NF,NF,,
48,D9,NF,,,<20
48,D11,NF,NF,,
48,D14,NF,NF,<20,<20
49,D0,NF,NF,,
49,D1,NF,,,
49,D3,NF,,,
49,D4,NF,NF,,
49,D7,NF,9.2,,
49,D9,NF,,,<20
49,D11,NF,NF,,NF
49,D14,NF,NF,NF,<20
50,D0,NF,NF,,
50,D1,NF,,,
50,D3,NF,,,
50,D4,NF,NF,,
50,D7,NF,,,
50,D9,NF,,,
5,D11,,,,<20
5,D14,,,NF,<20
51,D0,NF,NF,,
51,D1,954.8,,,
51,D3,141.6,,,
51,D4,58.5,6.2,,
51,D7,24.6,3,,
51,D9,25.8,,,132.4
51,D11,13.9,4.5,,50.8
51,D14,14.9,NF,<20,68
52,D0,NF,NF,,
52,D1,1865,,,
52,D3,747.7,,,
52,D4,429.4,NF,,
52,D7,118.7,2.7,,
52,D9,94.4,,,1201.7
52,D11,42.9,NF,,417.8
52,D14,19.7,NF,NF,55
53,D0,NF,NF,,
53,D1,1062.5,,,
53,D3,135.8,,,
53,D4,63.2,4.7,,
53,D7,37,2.9,,
53,D9,25.2,,,168.8
53,D11,14.2,1.5,,60.8
53,D14,11.9,NF,<20,105.5
54,D0,NF,NF,,
54,D1,1374.2,,,
54,D3,268.7,,,
54,D4,115.3,NF,,
54,D7,55.7,NF,,
54,D9,50.1,,,736.4
54,D11,45.8,NF,,365.8
54,D14,13.6,NF,<20,128.8
55,D0,NF,NF,,
55,D1,1202.3,,,
55,D3,139.6,,,
55,D4,61.4,6.5,,
55,D7,32.9,2.3,,
55,D9,27.6,,,170.9
55,D11,19.4,3.6,,110.2
55,D14,11.7,NF,NF,69.2
56,D0,23.5,NF,,
56,D1,1711.1,,,
56,D3,210.3,,,
56,D4,98.4,5.8,,
56,D7,41.2,2.6,,
56,D9,30.9,,,160.1
56,D11,16.5,1.9,,53.6
56,D14,12.4,1.1,<20,45.3
57,D0,NF,NF,,
57,D1,1950.7,,,
57,D3,238.2,,,
57,D4,94.8,7.6,,
57,D7,60.8,4.8,,
57,D9,44.1,,,606.9
57,D11,19.5,3.1,,130.6
57,D14,14.3,1.7,NF,73.8
58,D0,NF,NF,,
58,D1,2130.1,,,
58,D3,656.4,,,
58,D4,423.7,12.8,,
58,D7,188.3,4.7,,
58,D9,125.7,,,
58,D11,51.6,3,,552.9
58,D14,25.5,1.9,<20,189.7
59,D0,NF,NF,,
59,D1,119.9,,,
59,D3,144,,,
59,D4,85.8,175.2,,
59,D7,47.6,177.7,,
59,D9,23.4,,,2502.1
59,D11,9.8,6.2,,86.4
59,D14,6.2,2.3,<20,63.7
60,D0,NF,NF,,
60,D1,129.8,,,
60,D3,108.2,,,
60,D4,84.1,134.4,,
60,D7,51.7,118.9,,
60,D9,30,,,4285.6
60,D11,11.5,7.7,,39.7
60,D14,4.9,1.7,NF,37.8
61,D0,NF,NF,,
61,D1,108,,,
61,D3,92.8,,,
61,D4,65.1,103.3,,
61,D7,26.2,69.3,,
61,D9,13.5,,,2038.7
61,D11,6.3,3.3,,147.9
61,D14,3.4,2,<20,36
62,D0,,,,
62,D1,,,,
62,D3,,,,
62,D4,,,,
62,D7,,,,
62,D9,,,,
62,D11,,,,
62,D14,,,No sample,
63,D0,NF,NF,,
63,D1,65.6,,,
63,D3,96.7,,,
63,D4,77.1,345.4,,
63,D7,30,99.8,,
63,D9,15.3,,,2748.4
63,D11,6.7,NF,,71.9
63,D14,3.2,3,NF,24.1
64,D0,NF,NF,,
64,D1,108.5,,,
64,D3,85.7,,,
64,D4,55.4,138.8,,
64,D7,47.5,122.4,,
64,D9,18.6,,,4044.9
64,D11,9.4,NF,,92
64,D14,4,2.9,<20,24.1
65,D0,NF,NF,,
65,D1,125.2,,,
65,D3,108.8,,,
65,D4,56.6,225.8,,
65,D7,27.8,219.4,,
65,D9,17.9,,,13161.2
65,D11,7.5,NF,,87.9
65,D14,4.2,2.4,<20,48.5
66,D0,NF,NF,,
66,D1,63.8,,,
66,D3,117,,,
66,D4,52.8,218.6,,
66,D7,23.1,159.6,,
66,D9,16.7,,,6426.8
66,D11,6.8,5.5,,
66,D14,3.6,2.5,NF,31.7
