gene,15E,16E,18E,32,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,39E,40,41,42,43,44,44E,45,46,47,47E,48,49,5,51,52,53,53E,54,55,56,57,58,59,60,61,63,64,65,66,69E,7E,85E
IS91_1567_Rep1,15.35594,21.55116,16.62415,25.78527,,,32.67769,,,,,,,31.28624,,,,26.83114,,30.6658,,16.80785,32.56238,31.96715,34.15792,33.54814,,17.21383,,,32.61884,24.5459,,,,30.67348,,,32.55539,,34.99873,31.89923,,26.05635,,,,,25.22194,30.08442,30.17668,15.35371,,
IS91_1567_Rep2,14.61093,22.18422,13.99189,27.95405,,34.54798,,,,33.0533,,,,31.01091,,,,24.49686,,34.0568,,16.37654,,28.49593,31.67297,,,17.06455,,,30.0439,23.78432,,,,32.43458,,,30.9158,,34.78444,30.21883,,22.51182,,,,31.3624,25.22328,32.62231,29.53694,14.59918,,33.74733
tnpA_202_Rep2,,15.80149,32.12217,,,,,,,,,,,,,,,,,,,28.99768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.51359,
tnpA_202_Rep1,,14.71161,,,,,,,,,,,,,,,,,,,,27.775,,,,,,30.64657,,,,,,,,,,,,,,,,,,,,32.55985,,,,,19.42958,
aphA3_14_Rep1,26.61488,26.67148,24.71934,19.62299,20.23052,19.63189,20.61763,19.13503,20.27258,19.23644,21.22545,18.98383,18.99281,21.07779,21.11283,18.60684,19.10183,19.54057,19.40282,19.1671,20.17467,23.75772,20.08169,19.55245,19.17247,17.7428,18.85899,22.74782,20.11062,20.23485,19.86907,25.59792,19.88028,20.31695,19.78779,20.1012,19.86011,18.72662,25.6855,19.59416,20.49552,19.80062,19.7148,19.42355,20.52613,19.41957,18.51609,18.81025,19.5082,18.81706,19.26773,25.45341,27.5383,25.28873
aphA3_14_Rep2,26.33849,28.93487,24.63798,19.27895,20.22642,19.73639,19.67681,18.81813,20.92994,19.56616,20.61111,19.1804,18.73996,21.14849,21.1289,18.5029,18.96942,19.63292,19.64112,19.00788,20.03129,24.2432,19.91108,19.51384,19.7546,17.68185,18.77368,23.01214,20.82871,20.47945,19.64391,25.72664,19.8545,20.52791,20.67048,20.07608,19.67809,18.6025,25.29222,20.4358,19.82818,20.33705,19.68997,18.6031,20.23292,19.28121,18.77514,19.00833,19.36619,18.75582,19.66785,25.91742,26.49232,25.35857
intI1F165_clinical_359_Rep2,16.16535,21.57446,31.7886,31.54151,,,,,,,,,32.67407,,,,,,34.90623,,32.56032,16.34105,,,34.19458,31.62076,33.44877,27.2599,,,,19.93029,32.89907,,,,,,,,34.7004,34.33728,,31.32456,,,,,,31.91375,33.57397,15.60842,23.46119,19.93528
intI1F165_clinical_359_Rep1,14.43949,20.32667,34.82993,,,29.78636,33.93391,,33.94917,34.22295,,,30.65341,33.49325,,32.44231,,,,,30.09922,16.68031,,,,31.8534,32.86271,25.60878,32.4992,,,19.26146,31.84265,33.76387,,,,34.69409,33.03801,,,,,30.40689,,34.8209,,31.93098,,31.63007,34.22077,16.96755,24.33336,18.8974
tetB_181_Rep2,16.95269,16.71153,12.53685,25.4148,,29.01669,,,,,,28.55886,28.03295,,,,,24.13109,,,,16.7337,,24.39433,,,28.06594,16.0087,,,31.34027,22.69074,,,28.43579,,,,30.12156,29.52445,,,28.21641,24.6802,29.26065,,29.42911,,25.32694,26.079,,29.48112,17.63122,27.9329
tetL_195_Rep1,29.76168,30.98827,27.62094,26.84563,,30.95395,27.86366,,,,28.58334,28.54575,28.50997,,,31.85042,,27.6188,30.87696,,,31.62161,,28.35303,26.13295,25.62741,26.88867,29.43233,31.78126,,,29.8521,,,,32.30913,29.12987,26.53262,29.50753,30.91098,,,29.60393,25.22913,29.3265,,,31.47584,27.80741,29.63926,,,30.38701,
tetL_195_Rep2,29.76537,30.99398,26.35558,28.99051,,29.1684,31.81903,,,,25.90758,,30.13977,,,32.06512,,28.68413,,,34.77953,29.38525,,26.23849,27.9207,23.53617,24.9164,29.88324,,32.69829,,28.36537,,,,27.77366,28.01888,25.41451,27.8299,,,,,25.87106,26.12314,,,,29.08374,,,31.79918,33.29762,
ermG_807_Rep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ermG_807_Rep2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ermB_804_Rep2,28.78641,29.55593,24.9011,26.11321,24.55217,24.17005,27.18672,24.46337,24.67793,24.20056,23.344,22.23693,21.82454,26.03482,22.67286,23.14566,21.66691,23.55715,24.18606,20.16819,23.10732,24.50735,22.28222,22.5443,23.04456,21.659,22.82637,26.50636,23.09273,22.52757,23.75409,24.37491,24.31406,24.46653,21.9615,24.27024,22.33549,22.69902,27.85814,24.23428,26.66908,22.95842,22.90313,21.34759,23.17945,23.10941,24.29849,24.66576,23.48933,23.63708,23.35742,25.98175,30.59351,28.47266
tet40_500_Rep2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tet40_500_Rep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
